"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","067","0010","88101","3","38.56844","-121.49311","NAD83","PM2.5 - Local Conditions","1 HOUR","","2015-01-01","2015","001","Micrograms/cubic meter (LC)","None","","24","100.0000","","28.25","","59","22",".","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","88101","3","38.56844","-121.49311","NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2015-01-01","2015","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","28.2","","28.2","0","85","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","88101","3","38.56844","-121.49311","NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2015-01-01","2015","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","28.2","","28.2","0","85","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","42602","3","38.56844","-121.49311","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2015-01-01","2015","001","Parts per billion","None","","23","96.0000","","22.482609","","38.3","20","36","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","42602","3","38.56844","-121.49311","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","2015-01-01","2015","001","Parts per billion","None","","23","96.0000","","22.482609","","38.3","20","36","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","42601","3","38.56844","-121.49311","NAD83","Nitric oxide (NO)","1 HOUR","","2015-01-01","2015","001","Parts per billion","None","","23","96.0000","","33.517391","","128.1","22",".","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","85101","3","38.56844","-121.49311","NAD83","PM10 - LC","1 HOUR","","2015-01-01","2015","001","Micrograms/cubic meter (LC)","None","","24","100.0000","","38.25","","70","21",".","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","44201","1","38.56844","-121.49311","NAD83","Ozone","1 HOUR","Ozone 1-hour 1979","2015-01-01","2015","001","Parts per million","None","","23","96.0000","","0.010478","","0.033","14",".","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","44201","1","38.56844","-121.49311","NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2015-01-01","2015","001","Parts per million","None","","17","100.0000","","0.010765","","0.026","9","24","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","42603","3","38.56844","-121.49311","NAD83","Oxides of nitrogen (NOx)","1 HOUR","","2015-01-01","2015","001","Parts per billion","None","","23","96.0000","","56.043478","","165.7","22",".","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","0010","81102","4","38.56844","-121.49311","NAD83","PM10 Total 0-10um STP","1 HOUR","","2015-01-01","2015","001","Micrograms/cubic meter (25 C)","None","","24","100.0000","","35.458333","","65","21",".","Y","","California","Sacramento","Sacramento","Sacramento-1309 T Street","1309 T ST., SACRAMENTO, CA. 95814","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
