Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
11/21/17,59,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,22,.,17,59,21
11/22/17,58,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,18,0,20,58,15
11/23/17,77,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,26,0,20,77,13
11/24/17,62,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,32,0,16,62,16
11/25/17,82,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,9,31,0,29,82,25
11/26/17,98,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,9,36,0,33,98,19
11/27/17,37,Ozone,Folsom-Natoma St.,06-067-0012,AQS,5,37,0,7,19,25
11/28/17,46,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,7,30,0,13,46,27
11/29/17,62,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,28,1,21,62,24
11/30/17,95,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,15,29,1,31,95,28
12/1/17,91,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,35,1,32,91,32
12/2/17,119,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,15,40,1,42,119,21
12/3/17,51,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,36,.,11,51,16
12/4/17,36,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,3,36,.,12,21,23
12/5/17,48,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,35,.,19,48,29
12/6/17,94,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,11,36,.,42,94,39
12/7/17,100,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,35,.,48,100,38
12/8/17,94,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,31,.,41,94,39
12/9/17,125,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,16,31,.,47,125,37
12/10/17,101,PM2.5,Sacramento-1309 T Street,06-067-0010,AQS,17,31,.,41,101,34
12/11/17,93,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,16,32,.,42,93,33
12/12/17,81,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,28,.,36,81,31
12/13/17,76,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,11,29,.,36,76,33
12/14/17,105,PM2.5,Sacramento-1309 T Street,06-067-0010,AQS,16,31,1,53,105,40
12/15/17,115,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,18,33,3,52,115,32
12/16/17,41,Ozone,Colfax-City Hall,06-061-0004,AQS,7,41,0,34,39,22
12/17/17,60,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,8,39,0,37,60,31
12/18/17,85,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,13,35,1,59,85,42
12/19/17,90,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,17,36,1,44,90,32
12/20/17,40,Ozone,Tahoe City-Fairway Drive,06-061-1004,AQS,6,40,0,12,36,32
12/21/17,38,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,38,0,13,38,28
12/22/17,85,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,6,35,0,32,85,26
12/23/17,116,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,40,1,32,116,28
12/24/17,105,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,14,41,1,34,105,25
12/25/17,107,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,10,32,0,31,107,25
12/26/17,99,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,13,28,1,37,99,35
12/27/17,106,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,16,35,3,31,106,30
12/28/17,92,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,18,36,1,31,92,32
12/29/17,104,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,17,38,4,30,104,30
12/30/17,107,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,20,37,3,26,107,27
12/31/17,106,PM2.5,Sacramento-Del Paso Manor,06-067-0006,AQS,17,37,1,32,106,24
