"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","142","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","38","1","32","142","36"
"01/02/2015","145","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","22","33","1","41","145","37"
"01/03/2015","126","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","33","0","37","126","38"
"01/04/2015","137","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","23","31","0","33","137","36"
"01/05/2015","89","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","27","0","37","89","35"
"01/06/2015","81","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","28","1","39","81","31"
"01/07/2015","80","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","16","27","1","35","80","39"
"01/08/2015","82","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","27","1","35","82","30"
"01/09/2015","109","PM2.5","Sacramento Health Department-Stockton Blvd.","06-067-4001","AQS","9","23","3","42","109","29"
"01/10/2015","135","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","27","3","47","135","33"
"01/11/2015","148","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","32","3","32","148","31"
"01/12/2015","97","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","11","36","3","32","97","26"
"01/13/2015","105","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","40","3","28","105","31"
"01/14/2015","99","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","33","1","37","99","29"
"01/15/2015","87","PM2.5","Sacramento Health Department-Stockton Blvd.","06-067-4001","AQS","8","33","3","29","87","28"
"01/16/2015","69","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6","40","1","21","69","21"
"01/17/2015","82","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","27","1","19","82","20"
"01/18/2015","81","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","32","1","26","81","17"
"01/19/2015","64","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","33","1","21","64","20"
"01/20/2015","67","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","9","17","3","27","67","20"
"01/21/2015","74","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","39","3","23","74","25"
"01/22/2015","70","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","33","1","29","70","19"
"01/23/2015","90","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","7","41","1","32","90","25"
"01/24/2015","82","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","3","44","3","27","82","16"
"01/25/2015","67","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","37","3","21","67","23"
"01/26/2015","76","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5","30","3","25","76","25"
"01/27/2015","76","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6","34","1","29","76","28"
"01/28/2015","73","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","6","35","1","31","73","31"
"01/29/2015","63","PM2.5","Davis-UCD Campus","06-113-0004","AQS","10","32","1","26","63","38"
"01/30/2015","61","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","31","3","26","61","31"
"01/31/2015","39","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","39","1","24","39","31"
"02/01/2015","91","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5","37","1","28","91","31"
"02/02/2015","78","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","31","1","31","78","36"
"02/03/2015","79","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","29","3","31","79","39"
"02/04/2015","93","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","11","33",".","45","93","38"
"02/05/2015","67","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","39",".","26","67","27"
"02/06/2015","55","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6","38","1","25","55","25"
"02/07/2015","38","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5","36","0","7","38","18"
"02/08/2015","41","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5","40","1","9","41","8"
"02/09/2015","40","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","37","0","13","40","38"
"02/10/2015","39","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","8","37","1","23","39","30"
"02/11/2015","44","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","8","32","0","25","44","28"
"02/12/2015","51","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","10","35","1","26","51","29"
"02/13/2015","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","13","41","1","30","54","31"
"02/14/2015","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","9","37","1","28","54","30"
