"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"02/15/2015","59","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","34","1","20","59","31"
"02/16/2015","53","PM2.5","Davis-UCD Campus","06-113-0004","AQS","8","35","3","18","53","38"
"02/17/2015","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","8","37","1","20","54","26"
"02/18/2015","62","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","31","1","22","62","29"
"02/19/2015","69","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","7","31","1","20","69","22"
"02/20/2015","56","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","5","36","3","23","56","18"
"02/21/2015","71","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5","41","3","38","71","17"
"02/22/2015","55","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","5","39","3","41","55","17"
"02/23/2015","40","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","40","3","19","33","31"
"02/24/2015","46","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","6","45","1","20","46","31"
"02/25/2015","54","PM2.5","Davis-UCD Campus","06-113-0004","AQS","7","43","3","25","54","41"
"02/26/2015","50","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","44","4","23","50","30"
"02/27/2015","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","37","4","11","28","25"
"02/28/2015","40","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","5","36","1","9","40","25"
"03/01/2015","40","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","36","1","13","40","27"
"03/02/2015","36","Ozone","Sloughhouse","06-067-5003","AQS","5","36","1","16","35","30"
"03/03/2015","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","41","1","25","35","32"
"03/04/2015","46","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","46","0","26","38","40"
"03/05/2015","45","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","44",".","28","45","41"
"03/06/2015","55","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","44","0","26","55","35"
"03/07/2015","52","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","51","1","30","52","42"
"03/08/2015","55","PM2.5","Davis-UCD Campus","06-113-0004","AQS","9","50","1","26","55","34"
"03/09/2015","52","PM2.5","Davis-UCD Campus","06-113-0004","AQS","9","47","1","29","52","42"
"03/10/2015","67","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","67","3","31","56","34"
"03/11/2015","58","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","58","1","17","45","29"
"03/12/2015","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","44","1","13","24","25"
"03/13/2015","47","Ozone","Auburn-Atwood","06-061-0003","AQS","7","47","3","19","37","39"
"03/14/2015","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","54","6","26","54","35"
"03/15/2015","67","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","67","3","16","29","29"
"03/16/2015","58","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","58","3","19","38","25"
"03/17/2015","50","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","50","3","16","35","24"
"03/18/2015","49","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","49","3","14","20","32"
"03/19/2015","47","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","47","3","24","29","25"
"03/20/2015","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","45","4","16","30","26"
"03/21/2015","48","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","48","3","10","31","18"
"03/22/2015","45","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","45","4","10","25","9"
"03/23/2015","46","Ozone","Folsom-Natoma St.","06-067-0012","AQS","3","46","3","11","24","19"
"03/24/2015","39","Ozone","Folsom-Natoma St.","06-067-0012","AQS","3","39","0","11","20","24"
"03/25/2015","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","37","0","16","18","25"
"03/26/2015","54","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","6","54","1","21","35","46"
"03/27/2015","67","Ozone","Colfax-City Hall","06-061-0004","AQS","8","67","3","20","33","38"
"03/28/2015","54","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","54","1","25","40","36"
"03/29/2015","58","Ozone","Folsom-Natoma St.","06-067-0012","AQS","5","58","1","16","27","26"
"03/30/2015","54","Ozone","Colfax-City Hall","06-061-0004","AQS","5","54","1","20","39","25"
"03/31/2015","61","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","61","1","20","28","21"
"04/01/2015","48","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","48","1","18","18","25"
"04/02/2015","45","Ozone","Colfax-City Hall","06-061-0004","AQS","2","45",".","20","24","34"
"04/03/2015","51","Ozone","Colfax-City Hall","06-061-0004","AQS","6","51","0","22","35","26"
"04/04/2015","64","Ozone","Colfax-City Hall","06-061-0004","AQS","2","64","1","19","38","16"
"04/05/2015","47","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","47","1","15","26","11"
"04/06/2015","48","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","3","48","1","11","18","26"
"04/07/2015","48","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","48",".","9","21","12"
"04/08/2015","47","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","47","0","9","18","34"
"04/09/2015","48","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","48","1","14","20","38"
"04/10/2015","71","Ozone","Sloughhouse","06-067-5003","AQS","5","71","1","16","27","27"
"04/11/2015","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","46","1","19","19","23"
"04/12/2015","50","Ozone","Sloughhouse","06-067-5003","AQS","6","50","1","15","26","32"
"04/13/2015","77","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","77","3","21","28","25"
"04/14/2015","58","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","58","1","11","19","14"
"04/15/2015","58","Ozone","Colfax-City Hall","06-061-0004","AQS",".","58",".","27","22","10"
"04/16/2015","87","Ozone","Sloughhouse","06-067-5003","AQS",".","87",".","18","31","34"
"04/17/2015","93","Ozone","Sloughhouse","06-067-5003","AQS","3","93",".","16","35","23"
"04/18/2015","115","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","115","3","20","43","22"
"04/19/2015","93","Ozone","Sloughhouse","06-067-5003","AQS","5","93","3","22","42","15"
"04/20/2015","50","Ozone","Lincoln-1st Street","06-061-2002","AQS","3","50","4","19","41","11"
"04/21/2015","46","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","46","3","18","42","8"
"04/22/2015","51","Ozone","Auburn-Atwood","06-061-0003","AQS","5","51","4","25","50","12"
"04/23/2015","61","Ozone","Auburn-Atwood","06-061-0003","AQS","5","61","4","32","60","10"
"04/24/2015","47","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","47","3","20","40","15"
"04/25/2015","44","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","3","44","3","8","21","8"
"04/26/2015","48","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","5","48","3","15","32","33"
"04/27/2015","67","Ozone","Sacramento-Del Paso Manor","06-067-0006","AQS","5","67","6","13","33","22"
"04/28/2015","74","Ozone","Colfax-City Hall","06-061-0004","AQS","3","74","6","16","31","10"
"04/29/2015","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","64","3","20","40","25"
"04/30/2015","87","Ozone","Sloughhouse","06-067-5003","AQS","5","87","1","42","40","43"
"05/01/2015","108","Ozone","Colfax-City Hall","06-061-0004","AQS","7","108","3","26","45","41"
"05/02/2015","105","Ozone","Colfax-City Hall","06-061-0004","AQS","5","105","3","22","51","9"
"05/03/2015","84","Ozone","Colfax-City Hall","06-061-0004","AQS","3","84","1","18","46","5"
"05/04/2015","71","Ozone","Colfax-City Hall","06-061-0004","AQS","3","71","3","18","39","11"
"05/05/2015","80","Ozone","Colfax-City Hall","06-061-0004","AQS","3","80","1","25","55","10"
"05/06/2015","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","54","3","26","51","12"
"05/07/2015","49","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","2","49","3","13","26","10"
"05/08/2015","64","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","3","64","3","19","52","29"
"05/09/2015","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","64","1","21","52","8"
"05/10/2015","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","58","3","17","49","6"
"05/11/2015","61","Ozone","Colfax-City Hall","06-061-0004","AQS","3","61","3","19","34","9"
"05/12/2015","77","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","77","3","18","45","10"
"05/13/2015","58","Ozone","Colfax-City Hall","06-061-0004","AQS","2","58","3","17","21","14"
"05/14/2015","51","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","2","51","3","15","19","18"
"05/15/2015","50","Ozone","Auburn-Atwood","06-061-0003","AQS","2","50","3","13","32","17"
"05/16/2015","54","Ozone","Auburn-Atwood","06-061-0003","AQS","2","54","3","14","28","14"
"05/17/2015","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","43","3","11","28","5"
"05/18/2015","49","Ozone","Auburn-Atwood","06-061-0003","AQS","2","49","3","13","28","8"
"05/19/2015","67","Ozone","Auburn-Atwood","06-061-0003","AQS","2","67","3","14","34","8"
"05/20/2015","67","Ozone","Colfax-City Hall","06-061-0004","AQS","3","67","4","13","26","8"
"05/21/2015","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","44","3","11","28","12"
"05/22/2015","44","Ozone","Auburn-Atwood","06-061-0003","AQS","2","44","3","11","29","16"
"05/23/2015","46","Ozone","Auburn-Atwood","06-061-0003","AQS","3","46","3","15","42","15"
"05/24/2015","49","Ozone","Colfax-City Hall","06-061-0004","AQS","3","49","4","17","46","8"
"05/25/2015","49","Ozone","Colfax-City Hall","06-061-0004","AQS","3","49","4","13","30","5"
"05/26/2015","58","Ozone","Auburn-Atwood","06-061-0003","AQS","2","58","4","17","25","8"
"05/27/2015","80","Ozone","Auburn-Atwood","06-061-0003","AQS","2","80","4","14","29","7"
"05/28/2015","93","Ozone","Cool","06-017-0020","AQS","3","93","4","17","38","11"
"05/29/2015","112","Ozone","Auburn-Atwood","06-061-0003","AQS","3","112","3","14","38","21"
"05/30/2015","87","Ozone","Lincoln-1st Street","06-061-2002","AQS","3","87","4","14","39","17"
"05/31/2015","61","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","61","1","15","28","5"
"06/01/2015","44","Ozone","Auburn-Atwood","06-061-0003","AQS","2","44",".","8","23","14"
"06/02/2015","48","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","48","1","11","25","8"
"06/03/2015","54","Ozone","Colfax-City Hall","06-061-0004","AQS","3","54","3","19","35","9"
"06/04/2015","58","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS","3","58","3","19","44","13"
"06/05/2015","84","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","84","3","23","40","31"
"06/06/2015","90","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","90","4","16","43","18"
"06/07/2015","112","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","112","4","16","48","8"
"06/08/2015","136","Ozone","Sloughhouse","06-067-5003","AQS","5","136","3","20","47","32"
"06/09/2015","80","Ozone","Cool","06-017-0020","AQS","6","80","4","33","53","25"
"06/10/2015","44","PM2.5","Davis-UCD Campus","06-113-0004","AQS","3","37","3","11","44","15"
"06/11/2015","90","Ozone","Sloughhouse","06-067-5003","AQS","3","90","4","19","52","21"
"06/12/2015","129","Ozone","Sloughhouse","06-067-5003","AQS","5","129","6","22","53","20"
"06/13/2015","100","Ozone","Auburn-Atwood","06-061-0003","AQS","5","100","7","29","69","17"
"06/14/2015","80","Ozone","Colfax-City Hall","06-061-0004","AQS","3","80","6","31","68","5"
"06/15/2015","87","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","87","6","29","64","7"
"06/16/2015","136","Ozone","Folsom-Natoma St.","06-067-0012","AQS","3","136","4","27","65","11"
"06/17/2015","156","Ozone","Auburn-Atwood","06-061-0003","AQS","3","156","6","28","63","12"
"06/18/2015","87","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","87","4","23","55","9"
"06/19/2015","101","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","101","3","19","42","23"
"06/20/2015","150","Ozone","Auburn-Atwood","06-061-0003","AQS","2","150","3","16","45","27"
"06/21/2015","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","71","1","19","40","6"
"06/22/2015","93","Ozone","Auburn-Atwood","06-061-0003","AQS","2","93","1","18","48","9"
"06/23/2015","97","Ozone","Sloughhouse","06-067-5003","AQS","2","97","3","23","49","18"
"06/24/2015","112","Ozone","Cool","06-017-0020","AQS","3","112","3","22","54","15"
"06/25/2015","169","Ozone","Folsom-Natoma St.","06-067-0012","AQS","3","169","3","27","53","17"
"06/26/2015","187","Ozone","Auburn-Atwood","06-061-0003","AQS","3","187","4","27","60","25"
"06/27/2015","105","Ozone","Colfax-City Hall","06-061-0004","AQS","3","105","1","23","45","19"
"06/28/2015","61","Ozone","Auburn-Atwood","06-061-0003","AQS","3","61","3","18","32","6"
"06/29/2015","71","Ozone","Sloughhouse","06-067-5003","AQS","3","71","3","18","31","11"
"06/30/2015","105","Ozone","Sloughhouse","06-067-5003","AQS","3","105","3","23","53","19"
"07/01/2015","143","Ozone","Auburn-Atwood","06-061-0003","AQS","5","143","4","23","38","28"
"07/02/2015","80","Ozone","Colfax-City Hall","06-061-0004","AQS","5","80","4","19","37","11"
"07/03/2015","87","Ozone","Auburn-Atwood","06-061-0003","AQS","6","87","4","16","33","16"
"07/04/2015","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","80","6","17","58","13"
"07/05/2015","51","Ozone","Colfax-City Hall","06-061-0004","AQS","6","51","3","11","30","5"
"07/06/2015","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","49","3","13","33","9"
"07/07/2015","45","Ozone","Auburn-Atwood","06-061-0003","AQS","2","45","3","15","28","8"
"07/08/2015","42","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","42","4","15","39","7"
"07/09/2015","39","Ozone","Auburn-Atwood","06-061-0003","AQS","5","39","3","10","35","8"
"07/10/2015","42","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","42","3","10","42","8"
"07/11/2015","44","Ozone","Auburn-Atwood","06-061-0003","AQS","2","44","3","11","26","7"
"07/12/2015","44","Ozone","Auburn-Atwood","06-061-0003","AQS","2","44","3","12","28","4"
"07/13/2015","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","51","4","14","38","7"
"07/14/2015","87","Ozone","Auburn-Atwood","06-061-0003","AQS","2","87","4","15","40","10"
"07/15/2015","101","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","101","1","22","54","10"
"07/16/2015","119","Ozone","Auburn-Atwood","06-061-0003","AQS","2","119","1","18","58","8"
"07/17/2015","100","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","100","1","21","58","18"
"07/18/2015","87","Ozone","Auburn-Atwood","06-061-0003","AQS","2","87","1","16","48","16"
"07/19/2015","49","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","49",".","12","49","8"
"07/20/2015","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","61","1","19","56","15"
"07/21/2015","49","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","46","3","18","49","8"
"07/22/2015","52","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","48","1","26","52","8"
"07/23/2015","57","PM2.5","Davis-UCD Campus","06-113-0004","AQS","2","46","1","23","57","7"
"07/24/2015","61","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","54","0","15","61","18"
"07/25/2015","49","Ozone","Auburn-Atwood","06-061-0003","AQS","2","49","1","11","35","21"
"07/26/2015","50","Ozone","Colfax-City Hall","06-061-0004","AQS","2","50","1","18","43","7"
"07/27/2015","62","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","3","54","1","24","62","30"
"07/28/2015","74","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","74","1","25","40","30"
"07/29/2015","147","Ozone","Sloughhouse","06-067-5003","AQS","3","147","3","31","52","32"
"07/30/2015","140","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","140","3","24","54","12"
"07/31/2015","101","Ozone","Cool","06-017-0020","AQS","3","101","3","25","56","20"
"08/01/2015","74","Ozone","Colfax-City Hall","06-061-0004","AQS","3","74","3","25","54","16"
"08/02/2015","112","Ozone","Auburn-Atwood","06-061-0003","AQS","5","112","3","23","64","6"
"08/03/2015","64","Ozone","Colfax-City Hall","06-061-0004","AQS","2","64","3","18","43","8"
"08/04/2015","52","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","2","40","1","17","52","9"
"08/05/2015","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","84","1","19","48","30"
"08/06/2015","112","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","5","112","3","34","60","25"
"08/07/2015","67","Ozone","Auburn-Atwood","06-061-0003","AQS","3","67","0","25","59","19"
"08/08/2015","84","Ozone","Auburn-Atwood","06-061-0003","AQS","3","84","0","23","67","16"
"08/09/2015","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","71","1","18","52","7"
"08/10/2015","58","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","3","48","3","20","58","9"
"08/11/2015","44","Ozone","Colfax-City Hall","06-061-0004","AQS","2","44","0","8","30","9"
"08/12/2015","47","Ozone","Colfax-City Hall","06-061-0004","AQS","2","47",".","10","37","12"
"08/13/2015","54","Ozone","Colfax-City Hall","06-061-0004","AQS","2","54",".","9","42","12"
"08/14/2015","58","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","58",".","14","41","27"
"08/15/2015","103","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6","90","1","31","103","34"
"08/16/2015","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","87","1","41","76","40"
"08/17/2015","172","Ozone","Sloughhouse","06-067-5003","AQS","7","172","3","47","96","30"
"08/18/2015","156","Ozone","Auburn-Atwood","06-061-0003","AQS","3","156","1","40","99","14"
"08/19/2015","126","Ozone","Auburn-Atwood","06-061-0003","AQS","3","126","1","24","65","8"
"08/20/2015","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","93","1","21","58","9"
"08/21/2015","87","Ozone","Auburn-Atwood","06-061-0003","AQS","3","87","1","23","63","19"
"08/22/2015","84","Ozone","Colfax-City Hall","06-061-0004","AQS","7","84","3","24","61","18"
"08/23/2015","64","Ozone","Auburn-Atwood","06-061-0003","AQS","2","64","1","15","54","6"
"08/24/2015","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","3","61","3","17","63","12"
"08/25/2015","74","Ozone","Auburn-Atwood","06-061-0003","AQS","3","74","1","21","63","13"
"08/26/2015","64","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","3","49","3","21","64","14"
"08/27/2015","59","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","3","51","1","23","59","19"
"08/28/2015","49","Ozone","Auburn-Atwood","06-061-0003","AQS","2","49","3","29","40","29"
"08/29/2015","35","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","35","3","9","33","17"
"08/30/2015","46","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","44","1","14","46","19"
"08/31/2015","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","80","3","19","49","15"
"09/01/2015","105","Ozone","Auburn-Atwood","06-061-0003","AQS","3","105","4","23","60","22"
"09/02/2015","74","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","74","3","19","55","11"
"09/03/2015","58","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","2","58","4","22","52","11"
"09/04/2015","49","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","48","4","21","49","13"
"09/05/2015","49","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","49","3","29","37","28"
"09/06/2015","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","77","3","19","53","38"
"09/07/2015","101","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","101","3","25","53","47"
"09/08/2015","126","Ozone","Sloughhouse","06-067-5003","AQS","7","126","3","35","60","52"
"09/09/2015","87","Ozone","Davis-UCD Campus","06-113-0004","AQS","7","87","4","58","61","49"
"09/10/2015","71","Ozone","Sloughhouse","06-067-5003","AQS","7","71","4","39","60","39"
"09/11/2015","50","Ozone","Folsom-Natoma St.","06-067-0012","AQS","5","50","4","29","46","31"
"09/12/2015","103","PM2.5","Lake Tahoe Community College","06-017-9001","AQS","3","49","4","52","103","36"
"09/13/2015","179","PM2.5","Auburn-Atwood","06-061-0003","AQS","7","108",".","84","179","11"
"09/14/2015","98","PM2.5","Auburn-Atwood","06-061-0003","AQS","3","71",".","52","98","8"
"09/15/2015","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","1","45","4","18","42","9"
"09/16/2015","44","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","44","3","13","44","13"
"09/17/2015","55","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","2","48","3","15","55","19"
"09/18/2015","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","87","4","21","54","41"
"09/19/2015","93","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","93","6","29","61","48"
"09/20/2015","108","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","9","108","4","28","59","56"
"09/21/2015","101","Ozone","Sloughhouse","06-067-5003","AQS","10","101","6","42","58","44"
"09/22/2015","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","64","6","31","58","15"
"09/23/2015","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","71",".","33","64","39"
